start	end	text
188100	191640	あとビジネス全般を得意としているということをですね
191640	195020	お伝えしております 自社サービスなんかもやっております
195020	199240	自社サービスで今一番伸びているプロダクトを ご紹介させていただきますと
199240	202920	こちらのAI系のサービスですね 音声合成サービスなんですけれども
202920	206840	自分の声ですとか あるいは好きな声優さんの声ですとか
206840	211480	そういったものを学習して その声質の通りにテキストを読み上げることができる
211480	213880	サイバーができるというようなプロダクトを持っておりまして
213880	216580	こちら今8万ダウンロードぐらいされておりまして
216580	221260	マイハーさんの中で特に伸びているサービス感は 今にも持っておりません
221260	225740	ざっくりと駆け足で弊社のご紹介をさせていただいたんですけれども
225740	229300	ここまでに何かおひめい点ご質問ございますでしょうか
229300	231220	特にございませんありがとうございます
231220	232680	ありがとうございます
232680	237900	そうしましたら今回お問い合わせいただいている背景も含めて
237900	241580	改めてヒアリングさせていただければなというふうに思うんですけれども
241580	244040	ありがとうございます
244040	249360	AI系の接客システムというところでお伺いしておりますが
249360	252020	こちらからも簡単ではあるんですけれども
252020	254500	資料をデコさせていただいたので
254500	256100	共有させていただきます
256100	256980	ありがとうございます
256980	263700	見えておりますでしょうか
263700	264500	前にいております
264500	267260	どうしますか
267260	274260	説明させていただきます
274260	278060	お問い合わせの方にも書かせていただいたんですけれども
278060	282980	今おっしゃっていただいたようにリユース業界の会社様向けに
282980	288820	AIを使った接客支援のシステムを開発しようというプロジェクトを今推進しております
288820	294220	現在リユース業界 特にブランドの古着ですとか
294220	297100	ヴィンテージの家具を扱っているような企業様とは
297100	299660	商品の販売における接客におきまして
299660	301860	個人の知識レベルに依存するような
301860	305220	俗人化という強い課題を抱えていらっしゃる方も多くおります
305220	308140	そこでですねリユース品の付加価値をですね
308140	311940	最大化するためには一般的な商品情報だけではなくですね
311940	315740	元に持ち主の方がどのような思いで所有していたかですとか
315740	319880	仕入れ元から聞いたその商品の特別な歴史ですとか
319880	323220	そのような固有のストーリーを次の買い手様に伝えること
323220	324860	というのが重要であって
324860	329040	それが購入率ですとか単価の引き上げに大きく関わると考えております
329040	332320	しかしですねこれらの貴重な情報が買取ですとか
332320	337780	仕入れの段階から店舗に行ったふうに引き渡されないままになっているというのが現状でして
337780	344680	本プロジェクトの目的が従業員の方がスマートフォンなどで商品をスキャンしたりですとか
344680	349540	撮影するだけでブランド年代などの基本情報だけではなくて
349540	353000	市内にある過去データですね前の買取ですとか
353000	357600	市内の商品のストーリーですとかそれらも含めて
357600	360680	あとは買取実績とかECサイトにある情報ですとか
360680	365060	それらの商品の情報を自動設定で表示できるような
365060	369180	ウェブアプリケーションシステムを構築することとなっておりまして
369180	374500	それらを使って現場のもちろん長年働いていらっしゃるスタッフさんはもちろんなんですけれども
374500	377100	アルバイトスタッフ様でも即戦力として
377100	381720	プロレベルの接客ができるような接客の標準化を目指したものとなっております
381720	384880	本システムなんですけれども
384880	388400	特定の一社への住宅開発という形ではなくて
388400	397260	ゆくゆくは将来的に同業他社様に横展開していけるようなサービスになればいいなというふうに思ってはいるんですけれども
397260	404600	とりあえず本日の時点は一旦横展開していく場合の見積もりもそうなんですけれども
404600	413060	今お話をよければそれを導入したいと考えてくださっている会社様もいらっしゃるので
413060	418320	今一件に受託開発する場合の見積もりも
418320	420840	どちらも出していただけるような形だと
420840	423120	嬉しいというふうに考えております
423120	429520	横展開をしていくというのも大前提として考えるならば
429520	432740	基本となるシステム基盤は共通として
432740	435420	導入してくださった企業様ごとに
435420	437700	学習させる画像データですとか
437700	439960	親身の参照するようなポスとか
439960	442200	ECサイトの情報ですとかは
442200	445900	入れ替えるだけで個別の専用アプリとして提供できるような
445900	450740	拡張性の高い設計ですとか開発ですとかを求めております
450740	457160	そのまま主要な機能についてちょっとご説明させていただきます
457160	462920	こちらの1番が先ほど言ったような商品の基本情報ですね
462920	466720	どのような品でいつ作られたものですとか
466720	470860	ブランド年代型番などを特定するような
470860	473100	画像認識AIとなっております
473100	478540	2番目が一番このプロジェクトの大事な部分である
478540	483220	その商品一つ一つ固有のストーリーとか歴史とかを
483220	485480	元のお持ち主様ですとか
485480	488640	仕入れ元の方からヒアリングした情報を
488640	491100	入力記録して
491100	495180	それをデータベースに蓄積できるような機能ですね
495180	500220	3つ目が1で特定した型番情報とか
500220	507140	2で蓄積したようなデータを引き出すようなものですね
507140	512400	やっぱりこれを考えた時に画像認識AIを使うことで
512400	514440	正しくない情報ですとかを
514440	516540	そういうものがお客様に渡ってしまうことが
516540	518720	一番避けたいところではあるので
518720	524440	なるべく導入してくださった企業様の過去の取引実績から
524440	531300	得た情報ですとか取引をしたお客様から直接いただいたお話とかを
531300	536060	データソースして引き出せるようなものがあったらなというふうに思っております
536060	541480	その後の4つ目がそれらの情報をいい感じにミックスして
541480	545280	接客の時に伝えるような文章を出力するようなもので
545280	549900	これは別に文章ではなくても情報の羅列のみでもいいですし
549900	556400	そうなった場合はテキストを自動生成するような力はなくても大丈夫なのかなというふうに思っているんですけれども
556400	560780	一応ここでは自動生成というふうに書かせていただいております
560780	566000	最後にそれらをですねアルバイトスタッフ様でも使えるような
566000	572940	簡単で分かりやすいようなフロントエンド画面のUIがあったなというのが
572940	575880	主な機能なんですけれども
575880	579300	特にやっぱり2番と3番ですかね
579300	581780	大事にしたいなというふうに思っております
581780	584940	最後になんですけれども
584940	588480	一個先んじでお伝えさせていただくと
588480	593460	私実は今年から新卒で入社した社員でございまして
593460	596920	自分で初めて考えた事業なんですこちらが
596920	601340	それで今一応その一個導入を検討していただいている会社様にも
601340	603560	同じようなことをお伝えさせていただいていて
603560	606680	一緒に作っていければなというふうに思っているよと
606680	610620	先方の代表の方にも言っていただいている状況でして
610620	614740	今はとりあえず本当は最初はシステムをどうにかこうにか
614740	616800	自分でできないかと思っていたんですけれども
616800	621940	私自身システムに対する知識とかが結構乏しいので
621940	627980	一緒に作っていただけるような会社様を今探しているという状態でして
627980	629440	なのでちょっと至らない
629440	632880	こちらの今までの説明でも至らない点も多いかと思いますし
632880	637160	ちょっと足らずなところばかりかとは思うんですけれども
637160	642380	そういったところでもアドバイスも含めていただければなというふうに思っております
642380	646920	この今表示しているページに関しては
646920	651640	先ほどまでにカードコートでもお伝えさせていただいたようなことになるので
651640	656060	ちょっと確認していただきながらお話を進めさせていただければなと思っております
656060	657180	以上でございます
657180	660160	ありがとうございます
660160	666260	ありがとうございます 新卒1年目でこういうプロジェクトを任されていらっしゃるんですね
666260	676380	プロジェクトを任されるというか 事業の計画から営業とかも一人で一任するというようなことを
676380	681160	今現時点でやっておりまして 必死にやっております
681160	689500	やっぱりそこにその仕組みというか その時点にもすごく興味を持ってしまって
689500	692940	もうこのプロジェクトに専属でというか
692940	696640	フルコミットで鈴木さんは今携わっております
696640	699200	そうですね 御社にもあるかと思うんですけど
699200	703580	新卒に入った段階ではまだ研修期間という段階ではありまして
703580	708540	そういう人のコンテンツとして自分で事業を生み出して
708540	713180	それを広めていくというような
713180	715240	一つとしてやっておりまして
715240	725420	中にはそれで事業化をして会社の中で独立するというような動機とかもいたりしてという中でして
725420	732360	株式会社ナンバーというのが一応経営者様向けのソリューションを展開しているような会社になっておりまして
732360	736420	中のコンテンツとして今行っているという感じです
736420	741460	開発するかに対してゴーサインが出るかどうかは分からないけれども
741460	746740	提案の段階でいろいろと情報を集めたいみたいな感じですかね
746740	749360	もうGoサインとかもなくて
749360	753480	このまま例えばお願いしますという形になって
753480	757020	今検討していただいている店舗からもGoが出たら
757020	759820	そのまま受注という流れになっていくので
759820	763240	ここからそれが横展開できるかどうかも
763240	767360	結構私自身にかかっているような感じでございます
767360	768840	ありがとうございます
768840	772680	ビジネス的にはすごく筋が良い
772680	774020	ごめんなさいちょっと偉そうなことを
774020	774760	こちらを
774760	781200	筋が良さそうだなという印象ではございます
781200	788320	特にこのリユース市場は今非常に盛り上がっているというか
788320	793300	トレンドも機能もかなり
793300	798220	機能しそうな場のばかりかなというふうには思っております
798220	803160	ただちょっと開発に関しては ややちょっとハードルありそうだなっていうのが所感でございまして
803160	809160	特に画像認識AIのところで 何をどういう情報を取得してくるかっていうところを
809160	813160	AIに学習させる 何を正しいとするかを定義するみたいなところが
813160	818840	結構大変な部分になってきそうだなというような印象ではあります
818840	822740	具体的にどれぐらいの費用でできるかですとか
822740	825760	どういった機能の展開を考えられるかですとか
825760	830240	この後お子さんからいろいろフェアリングさせていただければというふうに思うんですけれども
830240	835580	これちゃんに思いついた背景みたいなのがあったりしなかったり
835580	840380	そうですね私自身が古着ですとかが好きで
840380	846320	もともと古着を今って500円の古着とかも結構あるじゃないですか
846320	849020	100円いわゆるセカンドストリートのような
849020	852480	安く提供できるような古着もたくさんあると思うんですけれども
852480	856400	私は頑張ったご褒美とかで結構高めの
856400	859960	いってものの古着をちょくちょく買うというようなことを
859960	862060	大学生時代からやっておりまして
862060	867620	その際に店員さんがこのワンピースはここからこう着ていて
867620	872680	こういうようなところで使われていてっていう情報を言われると
872680	878240	ぜひこの商品を私は引き継いでみたいな気持ちになるなというふうに思って
878240	884860	逆にこれってどこですかって聞いた時に答えられないような店員さんがたくさんいらっしゃるっていうのも
884860	888580	実体験としてしていたので
888580	895440	それがクリアになればこれからのSDGsとかが今掲げられている中で
895440	898800	古着というかヴィンテージ家具とかも含めてですけど
898800	904800	そのようなものがもっと出回るようになると普及的にもいいですし
904800	908100	経済的にもいいのではないかなっていうのがもともとあって
908100	913720	入社前このようなコンテンツがあることは私も知らなかったので
913720	919400	入社するときもベース業界に対してこういうアプローチをしていきたいです
919400	920900	ということを言って入社して
920900	923580	今それが形になっていて自分でも
923580	926040	わーどっち?という感じなんですけど
926040	931080	そういう背景があってこの事業を作ったかなという感じでございます
931080	937880	個人的にECサイトとかと接続しちゃうのがいいのかなと思ったりするんですよね
937880	939180	そういうイメージ
939180	943520	私はそこまでの考えがなかったんですけれども
943520	949420	今土入検討してくださっている会社様とお打ち合わせをしていただいた際に
949420	952340	この会社のシステム統括の方から
952340	956360	うちの話とかと合わせればいいんじゃないかという風な
956360	959100	アドバイスフィードバックをいただきまして
959100	963820	それができればそれこそ間違った情報などが乗ることはないですし
963820	967560	お客様に不当をつくという事態が避けられるかなと思ったので
967560	972600	ECサイトの情報ですとか過去の買取実績の情報などを
972600	976460	データソースとして引き出せればいいのではないかなというふうに考えております
976460	978180	ありがとうございます
978180	980900	それでLINE電気とかして
980900	984440	逐次購入者のデータベースを貯めていって
984440	988380	その購入者の趣味・思考に合ったレコメンドをLINEで流すみたいなことも
988380	990680	多分できるかなと思いますので
990680	993600	そこまでマーケットの有的な分野も考えた上で
993600	997720	構築できるとすごくいいんじゃないかなっていうような印象でございます
997720	1003800	ちなみにご予算とかってイメージされているものってございますか
1003800	1004860	いろいろなんですけど
1004860	1009300	このシステムというAIといった
1009300	1012320	スコーバー感がもちろん調べてはいるんですけど
1012320	1014380	あまり分かっておらず
1014380	1018600	先方からは多分めっちゃ高いと思うよっていうのに
1018600	1021480	言われていて
1021480	1026720	かつ導入してくださる企業様にはこちらのシステムプラスで
1026720	1032560	マニュアルをセットにしてお渡しするような形になるので
1032560	1037740	多分高いと思うよっていうふうに代表からは言われていて
1037740	1041920	高くなるだろうけどこれが実現したら
1041920	1045560	結構リユース業界では革命だと思うというふうに言っていただいていて
1045560	1050760	ある程度高くてもちゃんとシステムも常にアップデートされるような
1050760	1053700	仕組みがあってほしいなと思うし
1053700	1056400	というふうにご意見いただいていて
1056400	1058900	相場感といったものが
1058900	1063680	これもまた上司ともすり合わせていかなければいけないなと思っているんですけれども
1063680	1066780	ちょっと大体の相場感が
1066780	1070720	それもちょっとつかめればなというふうに思っておりまして
1070720	1074340	分かりましたありがとうございます
1074340	1076340	そうですね
1076340	1082340	ちょっとAIのチューニングをどこまでやるかでかなり変わってきそうなのと
1082340	1084840	プロタイプ的な部分でいくと
1084840	1087760	すぐというと語弊がありますけれども
1087760	1089940	結構早めにいけるかなと思うんですが
1089940	1093720	そこから画像の読み取りから学習して
1093720	1098400	適切なデータを出してくるという風になると
1098400	1103780	かなりチューニングの期間が長く取る必要があるかなという印象ではございます
1103780	1110120	ちなみにこれ導入を決定というか受注をほぼ確実みたいにされている会社さんは
1110120	1112320	アパレルの会社様ってことですか
1112320	1115400	アパレルっていうか
1115400	1119360	ヴィンテージ家具を買い取って販売をしている会社様に
1119360	1122580	レース
1122580	1125380	ナンバー様っていうレースグループの
1125380	1126340	はいそうです
1126340	1132320	子会社というかそこであるいは経営者のコミュニティを運営される
1132320	1136700	はい 経営者様向けのスリューションを展開しているという会社には
1136700	1138400	一応ナンバーはなっているんですけれども
1138400	1141160	コンサルティングという感じですかね
1141160	1142440	そうですね ありがとうございます
1142440	1149720	ナンバー様の方ではエンジニアというかシステム開発部隊はいらっしゃらないという感じですか
1149720	1152040	いることはいるんですよ
1152040	1156760	もちろんグループ内で完結できればいいので
1156760	1160060	その話も出たんですけれども
1160060	1164240	会社の創業期にあるステム部みたいなところが
1164240	1167960	ここでやろうとすると
1167960	1170360	ありえないくらい高くなってしまうかも
1170360	1174560	ということを上司からちょっといただきまして
1174560	1178920	一旦自分の視野を広げるためにも
1178920	1183000	ベンダー会社様を介してというのも
1183000	1185680	考えてみてもいいんじゃないかというアドバイスをいただいて
1185680	1191220	今お話をさせていただいているという感じなんですけれども
1191220	1192380	そうですね
1192380	1195820	従来の会社ファーマーと比べると
1195820	1199160	だいぶ安くご提案できるんじゃないかなとは思うんですけども
1199160	1203280	とはいえ数百万ぐらいの感じでは
1203280	1207140	お考えいただけるといいのかなというようなイメージでございます
1207140	1208960	承知いたしました
1208960	1213020	あと今同席しているホストはアパレル業界にもともといた人間でございますので
1213020	1215700	ここら辺の勘どころもあるかなというところで
1215700	1221180	細谷さんこの辺の機能面ですとかビジネス面に関して
1221180	1225520	もし質問補足等あればいただければと思いますが
1225520	1227260	ありがとうございます
1227260	1230620	私の声も入ってますでしょうか
1230620	1231640	聞こえております
1231640	1232340	ありがとうございます
1232340	1235900	一応3年ぐらいDSのアパレル業にいたので
1235900	1239620	僕もよく古着を購入していた身なんですけど
1239620	1243360	この内容自体はすごい
1243360	1247260	実際研修とかにも使えたりするんじゃないかなというふうに思って
1247260	1249360	すごいいいなって思ってます
1249360	1254740	画像認識って実際査定するときとかもそうなんですけど
1254740	1258380	Googleのカメラで読み取って
1258380	1261860	それで実際に似たようなものを探したりとかで
1261860	1263640	査定することがあるんですけど
1263640	1265960	そういった認識の方法で
1265960	1268900	かつ最近だとメルカリとかだと
1268900	1274300	写真から情報をなんとなく出力できるみたいなのがあるんですけど
1274300	1277300	そういったようなイメージっていうことですかね
1277300	1285140	そうですね先方の社長からはこれで査定までできたらいいねみたいなことを
1285140	1287000	意見はいただいているんですけれども
1287000	1293760	私的に査定までいってしまうとそれこそもっと画像認識というところが
1293760	1296260	精度ではないといけないといいますか
1296260	1300520	精度が高くなければいけないなと思っておりまして
1300520	1308000	どちらかというとお客様が買おうという決め手になるような情報を
1308000	1313860	渡すためのシステムといったような解釈をしていただければなと思います
1313860	1315080	ありがとうございます
1315080	1321520	一応やっぱり精度をチューニングするのが大変かなと思ってまして
1321520	1327900	例えば画像を何枚か撮影した上で読み取らせるだったりとか
1327900	1331500	一応今Googleの方で無料でできるものは
1331500	1335920	写真を1枚から情報を見つけてくるみたいなものになるんですけど
1335920	1340340	やっぱり複数枚の写真があった方が精度自体は上がるんですけど
1340340	1343660	それを実装するのが実は難しいんじゃないかみたいなところが
1343660	1345540	ちょっと考えられるんですけど
1345540	1351480	そのあたりっていうのは結構精度は高いほど良いみたいな感じですか
1351480	1354580	そうですね
1354580	1359580	一個私が考えているのが
1359580	1362220	この画像認識AIっていうのが
1362220	1367140	どこまでのことを表すのかがちょっと私が
1367140	1369480	詳しくないのであれなんですが
1369480	1373140	要するにお客様に伝えたい情報っていうのは
1373140	1376480	この商品って高校のブランドで
1376480	1378480	何年ぐらいに作られて
1378480	1381160	前に持ってた人はこういうような気持ちで
1381160	1384480	使っていたよみたいな情報が伝わればいいので
1384480	1386940	なんていうんですかね
1386940	1389700	基本情報として
1389700	1396140	全然違うブランドが出てきてしまったりだとかしない限りは
1396140	1400000	例えばこれはコーチのバッグで
1400000	1403140	大体何年頃に発売されたモデルで
1403140	1408800	ここからは各々購入してくださった企業様の情報になるんですけど
1408800	1410480	前に買い取った方は
1410480	1414380	例えばずっとファミとして使われていてとか
1414380	1417820	そういう各々の商品のストーリーですとか
1417820	1421500	そういうものが伝わればいいかなというふうに思っているので
1421500	1427320	ありえない間違った情報が出てこない限りは
1427320	1431940	査定とかそれが金額に関わってくるようなものではないので
1431940	1439660	あまり基本情報として間違った情報が出てこなければいい
1439660	1441540	という基準ではあるんですけれども
1441540	1444660	それが上手いところをつけるようなものがあるのかが
1444660	1447380	ちょっと私は分からないんですけれども
1447380	1448860	いかがでしょうか
1448860	1454760	あくまで補助になるかなというものには思っていて
1454760	1458160	実際に判断できる人というのがいないと
1458160	1460960	完全に自立して使うのは
1460960	1466140	制度的な意味ではやっぱり間違えたことが出てきたりだとか
1466140	1469180	似たようなものだけど
1469180	1471080	違うブランドだったみたいなパターンは
1471080	1472680	全然あると思うんで
1472680	1478060	ラグ的な連携が3番にも書かれてますけど
1478060	1483000	店舗の情報プラスGoogleとかの情報源から
1483000	1487940	正しそうな情報を引っ張ってくるっていうのは
1487940	1490300	全然できるんじゃないかなというふうに思いました
1490300	1492760	ありがとうございます
1492760	1494700	そうですね
1494700	1498500	先方の代表の方がおっしゃってたのは
1498500	1503000	ゆくゆくは自社だけじゃなくて
1503000	1509160	自社のそれこそECですとかPOSから持ってきた情報とかもあれば
1509160	1514420	どんどん性格性みたいなものは上がっていくよねみたいなお話もいただいていて
1514420	1519020	この事業案なんですけれども
1519020	1522960	弊社の上司からも言われているんですけれども
1522960	1529260	これを欲しいっていうなるリユース業の会社様って
1529260	1531180	すごく限られていると思っていて
1531180	1533620	冒頭でもお伝えしたような
1533620	1538560	すごく安く古着とか家具を扱っている会社は
1538560	1540720	多分このシステムというか
1540720	1543960	プロジェクト自体があまり当てはまらないような会社様にはなるので
1543960	1547920	この事業を横展開していくってなった時に
1547920	1551300	どのようなものならば
1551300	1558600	これ欲しいなって様々な企業様に思っていただけるのかみたいなところも
1558600	1561740	ちょっと今一個悩みとしてありまして
1561740	1567260	そうですねやっぱりこういう大きめの金額が動くようなシステムを
1567260	1573180	導入してプロジェクトを推進させていくっていうのがあった時に
1573180	1580460	やはり複数の企業様に受注していただくことが一番大事かなというふうに思っているので
1580460	1583000	それを目指すというふうになったときに
1583000	1586760	この要素はこうした方がいいのではないかとか
1586760	1592100	そういうものがあったらそちらもちょっと伺えればなというふうに思っているんですけれども
1592100	1602480	やっぱり精度がすごい大事かなって思っていて
1602480	1606780	おそらく画像認識の精度も上がってはいるんで
1606780	1614960	本来だと1枚写真を撮ってそこから情報を出すみたいな感じのものが多いと思うんですけど
1614960	1619780	それを例えば最初真正面から服の写真を撮って
1619780	1624600	次袖の部分を撮ってみたいな感じで段階的にやっていくことによって
1624600	1630100	AIに渡す情報の量を増やして出力するみたいな風にすれば
1630100	1637240	もしかしたら結構近い精度で特定できたりするんじゃないかなとは思いつつ
1637240	1641720	実際俗人化がすごいっていうのもその通りすぎるんで
1641720	1645980	ちょっとその辺りがうまくチューニングできれば
1645980	1648680	やっぱり先ほどもお伝えしましたけど
1648680	1650960	研修とかにも使えたりっていうのがあると思うんで
1650960	1656760	そういう意味でも古着業界がどんどん広がっていくみたいなところにも
1656760	1659180	いけるんじゃないかなみたいなところは思いました
1659180	1668720	これアーゲットというか
1668720	1673820	誰の何のための何の課題を解決したかみたいなところですね
1673820	1677740	結構考える必要があるかなというふうに思っておりまして
1677740	1682260	結構今購入側のためのシステムなのか
1682260	1686040	それとも企業側というか
1686040	1688720	リユース企業側のためのシステムなのかみたいなところでも
1688720	1690640	考え方あるかなと思っております
1690640	1695220	鈴木さんも頭の中で結構企業側というか
1695220	1700600	企業側の業務効率化につなげたいっていう思いが一番大きい
1700600	1701100	そうですね
1701100	1707080	そういう意味でやはり企業側で一番負担になっている部分っていうのが
1707080	1710420	何かっていうふうに考える必要があるかなと思うんですけれども
1710420	1715620	それがやはり査定であるとか研修教育の部分であるとか
1715620	1720280	そういったところがコアな価値かなというところですかね
1720280	1721160	ありがとうございます
1721160	1727460	まさにそこをAIによってどれだけチューニングできるかというところが
1727460	1734300	このプロダクトの成功可否を分ける部分かなというふうに思っておりますので
1734300	1743020	ただR&Dというかいろいろと試しつつ進まないといけないというところなので
1743020	1748520	そこに対してもしかしたらコースが変わってきてしまうかな
1748520	1751160	というような印象ではございます
1751160	1755780	ちなみにタグとか年代とか
1755780	1760220	そういったところの定量的な部分から判定するっていうのは
1760220	1762240	そんなに難しくないと思うんですけれども
1762240	1767620	品物の状態とかあるいは本物か偽物を見分けるとか
1767620	1772620	そういったところも想定されてたりしますんでしょうか
1773020	1780820	そうですねその本物偽物みたいな、いわゆる査定っぽいところがちょっと私的にも一番こう
1780820	1792660	ネックだなぁと思っているところではありまして、もちろんこのシステム自体が金額に何か関わってくるようなシステムではないので
1792660	1799780	要するにもともとも それこそ導入してくださった企業様の方で査定とか
1799780	1808020	終わった状態のものに対して接客する場で必要となってくるシステムではあるので
1808020	1817440	本物偽物であったりとかそこに責任を負うようなプロジェクトにはしたくないなっていうのが正直あって
1817440	1825260	このシステムが使われる時っていうのが
1825260	1828000	仕入れた時買い取った時と
1828000	1833480	販売をする時の2つになくて
1833480	1839320	買い取った時にお客様からいただいた情報ですとか
1839320	1842760	仕入れ先からもらった情報を
1842760	1846340	そのまんま生の状態っていう言い方が
1846340	1847740	ちょっと正しいかわからないんですけど
1847740	1850940	ホットなままお客様に届けるという
1850940	1856580	つながりをパイプラインとして使えるような
1856580	1859860	絶対無度マニュアルにしたいなというふうに思っておりまして
1859860	1863800	その正たてと言いますか
1863800	1866880	本物ですか偽物ですとかそこに関しては
1866880	1869860	多分もう何て言うんですかね
1869860	1875540	買取と販売を自社で全て行っている会社様に関して
1875540	1877880	多分すでにあるかと存じますし
1877880	1883000	逆に販売のみを行っている会社様に関しては
1883000	1888440	多分仕入れる先がすでに行っているところではあるかなというふうに思うので
1888440	1892500	そこはちょっと査定っぽいところは一旦
1892500	1898500	排除というかないようなシステムにしたいなというふうに考えています
1898500	1902400	査定は出しで
1902400	1908600	どちらかといえばその商品のストーリーというか背景みたいなところを
1908600	1915360	データベース化するようなそちらの方が中心のイメージになりますでしょうか
1915360	1915700	ありがとうございます
1915700	1921280	もちろん査定とかまでも全部このシステムで一括でできるようになったら
1921280	1925340	それこそ本当に先方の社長様もおっしゃってたんですけど
1925340	1928700	もうアルバイトだけですしすごく人件費もコストダウンできて
1928700	1929840	それでもいいと思うけど
1929840	1934820	多分そこまで一気にやるっていうのは相当大変だし
1934820	1939720	査定をして金額を出すっていうところまでを受けようものになってくると
1939720	1944120	もちろん金額に関わってくるものになってしまうので
1944120	1948840	より制度というものも高くなければならないですし
1949380	1955800	金額に関わってくるってなると
1955800	1960980	またちょっと別の課題がたくさん出てきてしまうのかなというふうに考えているんですけれども
1960980	1970420	最初の画像認識アイデアで基本情報っていうのは
1970420	1975520	たくさんある商品の中から接客をするタイミングでパッと引き出す
1975520	1982800	情報を引き出していくためのブックみたいな感覚で
1982800	1988040	それを元にというよりかは
1988040	1990900	画像認識AIで
1990900	1996420	引っかかった商品のストーリーをお客様に話すみたいな
1996420	1999360	いう感覚なんですけれども
1999360	2003160	すいませんちょっと言葉が足らずで申し訳ございません
2003160	2008180	そういう意味で営業のサポートシステムっていう方が
2008180	2010340	そうです客サポートという形
2010340	2011280	サポートです
2011280	2016700	理想型としては査定まであるといいなっていうところですよね
2016700	2018520	分かりました
2018520	2019540	そうですね
2019540	2021000	営業のサポート
2021000	2023460	ありがとうございます
2023460	2025680	小谷さんのときはちなみに
2025680	2029800	もともとのアパレル業界の経験からいって
2029800	2035960	そういった商品の説明を行うためのサポートシステムがあると
2035960	2038360	かなり活用したいというか
2038360	2043060	そういった部分にニーズがあるかどうかっていうのは肌感としていかがでしょうか
2043060	2047240	めちゃめちゃあるんじゃないですかねってちょっと思ってて
2047240	2054420	っていうのもやっぱり接客で売るみたいなところがあるなと思ってて
2054420	2061340	物自体は人の価値がやっぱり眠っているので
2061340	2066480	この服は例えば戦争の時から実は着られててそこがすごいんですってなると
2066480	2069600	それを聞いた人と聞いてない人とでは
2069600	2073680	なんでこの服こんな高いんだろうみたいなところになってしまうと思うんで
2073680	2077680	そういう背景とかをどのアルバイトのスタッフでも
2077680	2079960	正社員のスタッフでも関係なく話せたら
2079960	2085800	それはすごい販売につながるんじゃないかなとは僕も思いましたし
2085800	2089780	査定に今のところ使わないっていうんであれば
2089780	2093900	全然補助的な意味ではいいんじゃないかなって思いました
2093900	2099240	ありがとうございます
2099240	2105420	そこまでにまとめるのであれば
2105420	2108880	チューニングも安定は必要だと思うんですけれども
2108880	2112180	工数は抑えることはできるかなと思いますので
2112180	2116560	一旦そこの部分まででプロトタイプですね
2116560	2120400	プロトタイプと画面の動きの部分だけですけれども
2120400	2122100	プロトタイプを作りするのと
2122100	2128860	大体の概算金額というところをご用意させていただければと思っております
2128860	2134240	こちらに今お見せいただいている資料はメールとかでご注意いただけますか
2134240	2136460	後ほどお送りさせていただきます
